year,region,age_group,gender,total_insee,total_students
2022,Auvergne-Rhône-Alpes,20-24 ans,Femme,228531,0
2022,Auvergne-Rhône-Alpes,20-24 ans,Homme,239255,1
2022,Auvergne-Rhône-Alpes,20-24 ans,Non renseigné,0,0
2022,Auvergne-Rhône-Alpes,25-29 ans,Femme,227869,4
2022,Auvergne-Rhône-Alpes,25-29 ans,Homme,229782,8
2022,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,0,11
2022,Auvergne-Rhône-Alpes,30-34 ans,Femme,252973,9
2022,Auvergne-Rhône-Alpes,30-34 ans,Homme,247295,15
2022,Auvergne-Rhône-Alpes,30-34 ans,Non renseigné,0,23
2022,Auvergne-Rhône-Alpes,35-39 ans,Femme,265304,6
2022,Auvergne-Rhône-Alpes,35-39 ans,Homme,254980,16
2022,Auvergne-Rhône-Alpes,35-39 ans,Non renseigné,0,12
2022,Auvergne-Rhône-Alpes,40-44 ans,Femme,263561,5
2022,Auvergne-Rhône-Alpes,40-44 ans,Homme,255076,7
2022,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,0,14
2022,Auvergne-Rhône-Alpes,45-49 ans,Femme,261130,3
2022,Auvergne-Rhône-Alpes,45-49 ans,Homme,261532,10
2022,Auvergne-Rhône-Alpes,45-49 ans,Non renseigné,0,6
2022,Auvergne-Rhône-Alpes,50-54 ans,Femme,271085,2
2022,Auvergne-Rhône-Alpes,50-54 ans,Homme,267934,3
2022,Auvergne-Rhône-Alpes,50-54 ans,Non renseigné,0,6
2022,Auvergne-Rhône-Alpes,55-59 ans,Femme,266994,1
2022,Auvergne-Rhône-Alpes,55-59 ans,Homme,260661,4
2022,Auvergne-Rhône-Alpes,55-59 ans,Non renseigné,0,1
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Femme,1201312,1
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Homme,963910,2
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Non renseigné,0,1
2022,Bourgogne-Franche-Comté,20-24 ans,Femme,69439,0
2022,Bourgogne-Franche-Comté,20-24 ans,Homme,77847,0
2022,Bourgogne-Franche-Comté,20-24 ans,Non renseigné,0,0
2022,Bourgogne-Franche-Comté,25-29 ans,Femme,68487,2
2022,Bourgogne-Franche-Comté,25-29 ans,Homme,71275,4
2022,Bourgogne-Franche-Comté,25-29 ans,Non renseigné,0,0
2022,Bourgogne-Franche-Comté,30-34 ans,Femme,76666,1
2022,Bourgogne-Franche-Comté,30-34 ans,Homme,76158,6
2022,Bourgogne-Franche-Comté,30-34 ans,Non renseigné,0,4
2022,Bourgogne-Franche-Comté,35-39 ans,Femme,81864,1
2022,Bourgogne-Franche-Comté,35-39 ans,Homme,80583,0
2022,Bourgogne-Franche-Comté,35-39 ans,Non renseigné,0,3
2022,Bourgogne-Franche-Comté,40-44 ans,Femme,83548,1
2022,Bourgogne-Franche-Comté,40-44 ans,Homme,82106,0
2022,Bourgogne-Franche-Comté,40-44 ans,Non renseigné,0,0
2022,Bourgogne-Franche-Comté,45-49 ans,Femme,87123,0
2022,Bourgogne-Franche-Comté,45-49 ans,Homme,86369,2
2022,Bourgogne-Franche-Comté,45-49 ans,Non renseigné,0,0
2022,Bourgogne-Franche-Comté,50-54 ans,Femme,94518,0
2022,Bourgogne-Franche-Comté,50-54 ans,Homme,93561,3
