INSEE_AGE_GROUP,OC_AGE_GROUP
"0 à 4 ans",
"5 à 9 ans",
"10 à 14 ans",
"15 à 19 ans",
"20 à 24 ans","20-24 ans"
"25 à 29 ans","25-29 ans"
"30 à 34 ans","30-34 ans"
"35 à 39 ans","35-39 ans"
"40 à 44 ans","40-44 ans"
"45 à 49 ans","45-49 ans"
"50 à 54 ans","50-54 ans"
"55 à 59 ans","55-59 ans"
"60 à 64 ans","60 ans ou plus"
"65 à 69 ans","60 ans ou plus"
"70 à 74 ans","60 ans ou plus"
"75 à 79 ans","60 ans ou plus"
"80 à 84 ans","60 ans ou plus"
"85 à 89 ans","60 ans ou plus"
"90 à 94 ans","60 ans ou plus"
"95 ans et plus","60 ans ou plus"
