Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Édition,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6205","Valeur","70041","Cost of a healthy diet (CoHD), LCU per person per day","2018","2018","Juillet 2025 (rapport SOFI)","UML/personne/jour","20.59","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6226","Valeur","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","2.94","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2018","2018","Juillet 2025 (rapport SOFI)","%","60.2","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ZAF","Afrique du Sud","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","Juillet 2025 (rapport SOFI)","millions de No","35.3","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6205","Valeur","70041","Cost of a healthy diet (CoHD), LCU per person per day","2018","2018","Juillet 2025 (rapport SOFI)","UML/personne/jour","164.71","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6226","Valeur","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","3.13","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6121","Valeur","7005","Prevalence of unaffordability (PUA), percent","2018","2018","Juillet 2025 (rapport SOFI)","%","17.6","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","ALB","Albanie","6132","Valeur","7006","Number of people unable to afford a healthy diet (NUA), million","2018","2018","Juillet 2025 (rapport SOFI)","millions de No","0.5","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DZA","Algérie","6205","Valeur","70041","Cost of a healthy diet (CoHD), LCU per person per day","2018","2018","Juillet 2025 (rapport SOFI)","UML/personne/jour","160.56","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","DZA","Algérie","6226","Valeur","70040","Cost of a healthy diet (CoHD), PPP dollar per person per day","2018","2018","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","4.16","E","Valeur estimée"
