Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5511","Production","S2734","Viande de Volailles","2018","2018","1000 t","29","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5611","Importations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","25","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5072","Variation de stock","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5911","Exportations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5301","Disponibilité intérieure","S2734","Viande de Volailles","2018","2018","1000 t","53","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5170","Résidus","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2018","2018","1000 t","53","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2018","2018","kg/personne","1.46","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2018","2018","kcal/personne/jour","5.5","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2018","2018","millions de kcal","73734.41","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","0.66","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","8808.99","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","0.32","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","4269.96","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2018","2018","1000 t","1762","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5611","Importations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","515","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5072","Variation de stock","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5911","Exportations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","49","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5301","Disponibilité intérieure","S2734","Viande de Volailles","2018","2018","1000 t","2228","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5123","Pertes","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5170","Résidus","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2018","2018","1000 t","2228","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2018","2018","kg/personne","38.02","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2018","2018","kcal/personne/jour","143.25","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2018","2018","millions de kcal","3064606.34","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","17.18","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","367527.72","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","8.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","176916.65","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5511","Production","S2734","Viande de Volailles","2018","2018","1000 t","16","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5611","Importations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","12","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5072","Variation de stock","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2018","2018","1000 t","27","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5170","Résidus","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5142","Nourriture","S2734","Viande de Volailles","2018","2018","1000 t","27","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2018","2018","kg/personne","9.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2018","2018","kcal/personne/jour","35.71","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2018","2018","millions de kcal","37727.7","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","4.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","4507.16","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","2.07","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","2184.46","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5511","Production","S2734","Viande de Volailles","2018","2018","1000 t","286","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5611","Importations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5072","Variation de stock","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5911","Exportations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2018","2018","1000 t","286","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5170","Résidus","S2734","Viande de Volailles","2018","2018","1000 t","0","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5142","Nourriture","S2734","Viande de Volailles","2018","2018","1000 t","286","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2018","2018","kg/personne","6.72","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2018","2018","kcal/personne/jour","25.05","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2018","2018","millions de kcal","388588.68","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","3.06","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","47475.51","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2018","2018","g/personne/jour","1.42","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2018","2018","tonnes","22043.16","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","5511","Production","S2734","Viande de Volailles","2018","2018","1000 t","1571","I","Valeur imputée par une agence réceptrice",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","5611","Importations - quantité","S2734","Viande de Volailles","2018","2018","1000 t","871","I","Valeur imputée par une agence réceptrice",""
