Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","AFG","Afghanistan","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","18856.319311","X","Chiffre de source externe",""
"MK","Indicateurs macro","AFG","Afghanistan","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","513.194331","X","Chiffre de source externe",""
"MK","Indicateurs macro","AFG","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-0.935067","X","Chiffre de source externe",""
"MK","Indicateurs macro","AFG","Afghanistan","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","-3.777096","X","Chiffre de source externe",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","405260.711509","X","Chiffre de source externe",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","6914.17788","X","Chiffre de source externe",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","6.329486","X","Chiffre de source externe",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","4.555595","X","Chiffre de source externe",""
"MK","Indicateurs macro","ALB","Albanie","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","15156.427728","X","Chiffre de source externe",""
"MK","Indicateurs macro","ALB","Albanie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","5236.771954","X","Chiffre de source externe",""
"MK","Indicateurs macro","ALB","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","16.411217","X","Chiffre de source externe",""
"MK","Indicateurs macro","ALB","Albanie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","16.572567","X","Chiffre de source externe",""
"MK","Indicateurs macro","DZA","Algérie","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","174910.894611","X","Chiffre de source externe",""
"MK","Indicateurs macro","DZA","Algérie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","4115.062948","X","Chiffre de source externe",""
"MK","Indicateurs macro","DZA","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","2.830096","X","Chiffre de source externe",""
"MK","Indicateurs macro","DZA","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","0.85663","X","Chiffre de source externe",""
"MK","Indicateurs macro","DEU","Allemagne","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","4052008.447223","X","Chiffre de source externe",""
"MK","Indicateurs macro","DEU","Allemagne","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","48603.587445","X","Chiffre de source externe",""
"MK","Indicateurs macro","DEU","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","7.677627","X","Chiffre de source externe",""
"MK","Indicateurs macro","DEU","Allemagne","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","7.336004","X","Chiffre de source externe",""
"MK","Indicateurs macro","AND","Andorre","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","3218.419456","X","Chiffre de source externe",""
"MK","Indicateurs macro","AND","Andorre","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","42819.768719","X","Chiffre de source externe",""
"MK","Indicateurs macro","AND","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","7.274919","X","Chiffre de source externe",""
"MK","Indicateurs macro","AND","Andorre","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","5.277484","X","Chiffre de source externe",""
"MK","Indicateurs macro","AGO","Angola","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","101353.211188","X","Chiffre de source externe",""
"MK","Indicateurs macro","AGO","Angola","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","3238.416118","X","Chiffre de source externe",""
"MK","Indicateurs macro","AGO","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-17.007853","X","Chiffre de source externe",""
"MK","Indicateurs macro","AGO","Angola","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","-19.824847","X","Chiffre de source externe",""
"MK","Indicateurs macro","AIA","Anguilla","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","318.71881","X","Chiffre de source externe",""
"MK","Indicateurs macro","AIA","Anguilla","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","21650.622215","X","Chiffre de source externe",""
"MK","Indicateurs macro","AIA","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","14.283028","X","Chiffre de source externe",""
"MK","Indicateurs macro","AIA","Anguilla","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","11.985102","X","Chiffre de source externe",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","1661.481481","X","Chiffre de source externe",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","18272.897537","X","Chiffre de source externe",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","8.514756","X","Chiffre de source externe",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","7.96816","X","Chiffre de source externe",""
"MK","Indicateurs macro","SAU","Arabie saoudite","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","846583.791759","X","Chiffre de source externe",""
"MK","Indicateurs macro","SAU","Arabie saoudite","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","27880.139378","X","Chiffre de source externe",""
"MK","Indicateurs macro","SAU","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","18.404206","X","Chiffre de source externe",""
"MK","Indicateurs macro","SAU","Arabie saoudite","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","20.031332","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARG","Argentine","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","524819.898586","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARG","Argentine","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","11752.800163","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARG","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","-18.459176","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARG","Argentine","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","-19.127477","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARM","Arménie","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","12457.940705","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARM","Arménie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","4281.131507","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARM","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","8.071874","X","Chiffre de source externe",""
"MK","Indicateurs macro","ARM","Arménie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","8.25753","X","Chiffre de source externe",""
"MK","Indicateurs macro","ABW","Aruba","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","3276.184358","X","Chiffre de source externe",""
"MK","Indicateurs macro","ABW","Aruba","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2018","2018","USD","30781.948639","X","Chiffre de source externe",""
"MK","Indicateurs macro","ABW","Aruba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2018","2018","%","5.942064","X","Chiffre de source externe",""
"MK","Indicateurs macro","ABW","Aruba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2018","2018","%","5.243794","X","Chiffre de source externe",""
"MK","Indicateurs macro","AUS","Australie","6110","Valeur US$","22008","Produit Intérieur Brut","2018","2018","Millions d’USD","1454947.196306","X","Chiffre de source externe",""
