ISO3,Zone,Production,Importation,Exportation,TDI,TAS,Population,Croissance Population,Croissance PIB,Croissance PIB par habitant,PIB,PIB par habitant,NUA,Pop - NUA,PUA,GS,LPI,EDB,Distance
AGO,Angola,41.0,335.0,0.0,0.8909574468085106,0.10904255319148937,31297155.0,45.037561423545625,-17.007853,-19.824847,101353.211188,3238.416118,19800000.0,11497155.0,63.2,58.96248,2.05,41.20205,6510.322
ARE,Émirats arabes unis,47.0,612.0,61.0,1.0234113712374582,0.07859531772575251,9346870.0,48.30030602932347,9.354948,8.038236,427049.44846,45689.032634,200000.0,9146870.0,2.5,80.134659,3.96,81.58883,5249.535
ARM,Arménie,12.0,33.0,0.0,0.7333333333333333,0.26666666666666666,2909965.0,-1.690039493376667,8.071874,8.25753,12457.940705,4281.131507,1400000.0,1509965.0,49.7,65.8279441,2.61,73.19187,3434.071
AUS,Australie,1235.0,16.0,39.0,0.013201320132013201,1.018976897689769,25119706.0,17.543348945599956,3.05688,1.462323,1454947.196306,57920.551509,800000.0,24319706.0,3.2,80.9961371,3.75,80.70552,16975.46
AUT,Autriche,152.0,114.0,83.0,0.6229508196721312,0.8306010928961749,8841650.0,6.228297998390762,9.075388,8.546483,452582.294973,51187.535062,200000.0,8641650.0,2.3,80.3126544,4.03,78.73995,1035.144
BEL,Belgique,470.0,305.0,640.0,2.259259259259259,3.4814814814814814,11428605.0,6.712573302652136,8.330888,7.837751,542638.913428,47480.76545,100000.0,11328605.0,1.2,73.1489848,4.04,74.74503,262.3845
BGD,Bangladesh,255.0,0.0,0.0,0.0,1.0,163523103.0,9.398834705083411,9.429594,8.534903,316205.585001,1933.705869,101500000.0,62023103.0,62.1,48.3828183,2.58,42.46602,7916.79
BGR,Bulgarie,118.0,108.0,46.0,0.6,0.6555555555555556,7024745.0,-6.779122330402177,11.972693,12.783867,66251.595363,9431.17375,600000.0,6424745.0,8.3,76.02222789999999,3.03,71.80724,1760.707
BIH,Bosnie-Herzégovine,62.0,12.0,8.0,0.18181818181818182,0.9393939393939394,3387000.0,-14.199816392166877,11.773611,13.149166,20484.052605,6047.845469,200000.0,3187000.0,5.7,60.9490035,2.81,65.37254,1352.463
BLR,Bélarus,466.0,11.0,168.0,0.03559870550161812,1.5080906148867315,9480031.0,-0.5176319328122629,9.69495,9.877294,60031.016756,6332.365027,200000.0,9280031.0,1.9,70.4663947,2.57,74.35306,1823.709
BOL,Bolivie (État plurinational de),485.0,0.0,1.0,0.0,1.0020661157024793,11508368.0,16.826047030624135,7.408857,5.880276,40287.647931,3500.726422,1500000.0,10008368.0,13.3,62.6256651,2.36,51.5617,10038.45
BRA,Brésil,14095.0,3.0,4012.0,0.000297441998810232,1.3974816577434066,206107261.0,8.268205114342589,-7.103462,-7.736189,1916933.708375,9300.660752,54300000.0,151807261.0,26.4,54.8735087,2.99,58.59449,9408.406
CAN,Canada,1474.0,186.0,155.0,0.12358803986710963,0.9794019933554817,37295005.0,11.497833199323688,4.61021,3.245583,1725300.253576,46260.893478,1000000.0,36295005.0,2.7,81.902439,3.73,79.6798,6004.645
CHE,Suisse,97.0,46.0,2.0,0.3262411347517731,0.6879432624113475,8516344.0,11.445264735934071,4.367328,3.598741,725562.534364,85196.475361,100000.0,8416344.0,1.6,87.33637619999999,3.9,76.61632,436.0778
CHL,Chili,762.0,160.0,157.0,0.20915032679738563,0.996078431372549,18893191.0,12.199088211239298,6.888612,4.99717,295402.646018,15635.402512,8700000.0,10193191.0,46.0,77.4109534,3.32,72.32025,11663.39
CHN,"Chine, continentale",20045.0,504.0,594.0,0.025256827862691057,1.0045101478326235,1419008956.0,6.3867594660841664,12.870459,12.34117,13894907.046052,9791.979809,358600000.0,1060408956.0,25.3,61.8459925,3.61,73.30366,8225.232
CIV,Côte d'Ivoire,51.0,1.0,0.0,0.019230769230769232,0.9807692307692307,27464173.0,27.654615007837993,11.445183,8.47971,58522.477745,2130.866231,14300000.0,13164173.0,51.9,50.2088875,3.08,58.34417,4884.159
COG,Congo,7.0,113.0,0.0,0.9416666666666667,0.058333333333333334,5483118.0,33.29513406654208,24.837838,21.830069,14773.900278,2694.43413,4099999.9999999995,1383118.0000000005,75.5,54.1142196,2.49,38.22684,6041.018
COL,Colombie,1630.0,90.0,2.0,0.05238649592549476,0.9487776484284052,49024465.0,12.033364802807244,7.160537,5.207718,334198.218101,6816.968114,15400000.0,33624465.0,31.4,54.5255309,2.94,69.24335,8707.677
CRI,Costa Rica,136.0,15.0,3.0,0.10135135135135136,0.918918918918919,4957818.0,11.661159228622342,3.146472,2.217724,62420.164965,12590.249373,800000.0,4157818.0,15.3,76.735494,2.79,68.83187,8919.449
CYP,Chypre,26.0,15.0,1.0,0.375,0.65,1270737.0,16.471743111529882,12.234892,10.780924,25754.019759,20266.986501,0.0,1270737.0,2.7,77.1017013,3.15,72.77735,2954.551
CZE,Tchéquie,169.0,122.0,27.0,0.4621212121212121,0.6401515151515151,10548937.0,1.6442493620337528,13.733659,13.651768,251992.360762,23887.938734,400000.0,10148937.0,4.2,83.72152349999999,3.68,76.322,884.6105
DEU,Allemagne,1571.0,871.0,641.0,0.4836202109938923,0.8722931704608551,83368505.0,2.783511739753153,7.677627,7.336004,4052008.447223,48603.587445,1900000.0,81468505.0,2.2,79.967946,4.2,79.34794,439.8984
DNK,Danemark,156.0,141.0,142.0,0.9096774193548387,1.0064516129032257,5793824.0,5.461829084758646,7.141744,6.611817,355293.374912,61322.771325,100000.0,5693824.0,1.0,83.00735379999999,3.99,85.17028,1027.609
DOM,République dominicaine,349.0,31.0,6.0,0.08288770053475936,0.9331550802139037,10782053.0,12.628293985352753,6.94685,5.804081,85555.390387,7934.981067,2600000.0,8182053.0,23.7,65.94693459999999,2.66,59.32073,7178.52
DZA,Algérie,286.0,0.0,0.0,0.0,1.0,42505035.0,22.081404520055614,2.830096,0.85663,174910.894611,4115.062948,7700000.0,34805035.0,18.1,55.0130534,2.45,48.49803,1340.39
ECU,Équateur,331.0,0.0,0.0,0.0,1.0,17049547.0,16.9764027970247,2.882691,1.132571,107478.961,6303.919051,4099999.9999999995,12949547.0,23.9,64.74567619999999,2.88,57.6141,9367.098
EGY,Égypte,1451.0,46.0,2.0,0.03076923076923077,0.9705685618729097,105682093.0,23.07966307353297,27.744284,25.343643,262628.678275,2485.082095,56900000.0,48782093.0,53.9,44.3372496,2.82,58.51399,3215.215
ESP,Espagne,1622.0,195.0,244.0,0.12396694214876033,1.0311506675143038,47092821.0,1.8552308817461314,8.313855,7.798135,1431642.809327,30400.447009,5100000.0,41992821.0,10.8,71.61084989999999,3.83,77.69995,1054.656
EST,Estonie,19.0,30.0,12.0,0.8108108108108109,0.5135135135135135,1321965.0,-1.130004771613239,13.663066,13.272715,31222.632741,23618.35945,100000.0,1221965.0,9.5,79.53959929999999,3.31,80.79339,1859.091
FIN,Finlande,135.0,18.0,11.0,0.1267605633802817,0.9507042253521126,5515736.0,3.8084818750862213,7.887895,7.744315,273869.255596,49652.34572,100000.0,5415736.0,1.1,83.68496549999999,3.97,80.04165,1911.138
FJI,Fidji,36.0,5.0,0.0,0.12195121951219512,0.8780487804878049,917180.0,1.5254610642694977,4.258127,4.437559,5581.425889,6085.420407,400000.0,517180.0,46.9,77.82437259999999,2.35,61.38188,16595.08
GBR,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1939.0,834.0,388.0,0.34968553459119495,0.8129979035639413,66752475.00000001,7.617885258469886,7.137234,6.49844,2871532.26301,43017.614898,2300000.0,64452475.00000001,3.5,70.72153229999999,3.99,83.55123,342.9475
GHA,Ghana,65.0,205.0,0.0,0.7592592592592593,0.24074074074074073,30637585.0,26.340838037330062,11.411123,9.122976,67298.913746,2196.612913,19800000.0,10837585.0,64.7,65.3470646,2.57,60.43442,4827.292
GRC,Grèce,246.0,82.0,33.0,0.27796610169491526,0.8338983050847457,10730844.0,-3.1238782934387976,6.446601,6.671678,213298.873494,19877.176803,3000000.0,7730844.0,28.0,71.8955182,3.2,67.40997,2098.726
GTM,Guatemala,228.0,132.0,9.0,0.37606837606837606,0.6495726495726496,16845685.0,20.886075767694038,2.337091,0.646256,73328.369928,4352.946759,8500000.0,8345685.0,50.7,54.2170508,2.41,62.53299,9001.048
GUY,Guyana,42.0,1.0,0.0,0.023255813953488372,0.9767441860465116,791556.0,4.8965950443012645,0.831113,-2.108517,4787.637006,6048.390802,300000.0,491556.0,41.0,65.1928502,2.36,55.59359,7320.075
HND,Honduras,206.0,15.0,0.0,0.06787330316742081,0.9321266968325792,9765210.0,21.873372482570236,4.026178,2.139856,24067.75465,2464.642687,3800000.0,5965210.0,39.4,51.1298505,2.6,55.97099,8810.234
HRV,Croatie,64.0,26.0,18.0,0.3611111111111111,0.8888888888888888,4024868.0,-6.715823438898947,10.754477,12.24956,62657.499599,15567.591185,900000.0,3124868.0,23.3,79.0287809,3.1,72.95462,1081.762
HUN,Hongrie,524.0,61.0,232.0,0.17280453257790368,1.4844192634560907,9774394.0,-2.418601335755033,12.45305,12.582031,161184.691014,16490.505627,2600000.0,7174394.0,26.6,77.19613009999999,3.42,73.23963,1247.24
IDN,Indonésie,3454.0,0.0,0.0,0.0,1.0,269951846.0,12.405980192098944,2.624291,1.633908,1042271.532953,3860.953524,132600000.0,137351846.0,49.1,56.6224801,3.15,68.184,11584.25
IND,Inde,4101.0,0.0,7.0,0.0,1.0017098192476794,1374659064.0,13.80278384849815,5.304439,4.155251,2763534.978089,2010.342092,750300000.0,624359064.0,54.6,54.3030106,3.18,67.49639,6594.23
IRL,Irlande,150.0,105.0,90.0,0.6363636363636364,0.9090909090909091,4872556.0,8.616965808507759,13.464695,12.014063,395461.21646,81160.946542,100000.0,4772556.0,1.4,82.72921749999999,3.51,79.58999,778.2031
IRN,Iran (République islamique d'),2243.0,3.0,52.0,0.0013673655423883319,1.0223336371923428,86117998.0,14.042118486741911,-37.078268,-37.875581,316943.063027,3680.334778,7900000.0,78217998.0,9.2,49.3491312,2.85,58.63915,4218.442
IRQ,Iraq,109.0,466.0,1.0,0.8118466898954704,0.18989547038327526,40265624.0,38.98579256882633,21.44553,18.645763,227367.469034,5646.689251,9100000.0,31165624.0,22.5,28.7944333,2.18,44.65481,3867.434
ISL,Islande,9.0,2.0,0.0,0.18181818181818182,0.8181818181818182,352854.0,11.130217880156465,6.197621,3.391851,26260.850582,74424.126075,0.0,352854.0,0.5,88.02956119999999,3.23,79.011,2234.723
ISR,Israël,656.0,0.0,2.0,0.0,1.003058103975535,8510067.0,20.15422258994553,4.979667,3.150617,376309.165107,44219.297829,1600000.0,6910067.0,18.2,60.0064425,3.31,74.98013,3281.899
ITA,Italie,1277.0,95.0,175.0,0.07936507936507936,1.0668337510442774,60277499.0,1.2018045023710209,6.531334,6.730725,2099435.266459,34829.502197,6000000.0,54277499.0,10.0,72.2549458,3.74,73.04291,1109.901
JAM,Jamaïque,132.0,34.0,1.0,0.20606060606060606,0.8,2820097.0,3.4656878121978916,6.224646,6.061397,15730.792204,5578.102248,500000.0,2320097.0,16.9,68.7885972,2.52,68.2738,7734.696
JOR,Jordanie,218.0,64.0,13.0,0.2379182156133829,0.8104089219330854,10462306.0,49.67820556216672,4.235664,1.96331,43370.84507,4145.438402,1300000.0,9162306.0,12.3,60.3867267,2.69,61.28281,3371.398
KAZ,Kazakhstan,183.0,195.0,9.0,0.5284552845528455,0.4959349593495935,18932727.0,15.257043105586835,7.514241,5.919673,179339.977517,9472.485514,1200000.0,17732727.0,6.3,64.0387063,2.81,78.04085,5561.785
KEN,Kenya,132.0,1.0,0.0,0.007518796992481203,0.9924812030075187,50207108.0,28.058609688006925,12.392615,10.133122,92202.979941,1836.452736,34800000.0,15407108.0,69.4,46.7693279,2.81,70.97866,6491.402
KGZ,Kirghizistan,8.0,29.0,0.0,0.7837837837837838,0.21621621621621623,6341732.0,18.703009066882295,8.560592,6.479288,8642.188048,1362.748859,2200000.0,4141732.0,34.1,60.363986,2.55,65.41049,5424.702
KOR,République de Corée,885.0,170.0,35.0,0.16666666666666666,0.8676470588235294,51640894.0,6.792057893859259,6.669098,6.349709,1824251.399035,35325.712971,4400000.0,47240894.0,8.5,80.7641604,3.61,83.96046,8981.467
LAO,République démocratique populaire lao,35.0,5.0,0.0,0.125,0.875,7128045.0,15.922604260974483,6.309574,4.670526,18141.664443,2545.110818,4099999.9999999995,3028045.0000000005,57.1,70.4235369,2.7,49.77807,9245.57
LBN,Liban,136.0,11.0,5.0,0.07746478873239436,0.9577464788732394,5984119.0,21.496221388350968,3.524009,6.568919,54899.215466,9174.150928,1900000.0,4084119.0,0.3,45.1470729,2.72,54.42282,3197.032
LBR,Libéria,15.0,40.0,0.0,0.7272727272727273,0.2727272727272727,4944726.0,29.409110644508786,1.151655,-0.808106,3241.295405,655.505564,3300000.0,1644726.0,66.1,65.5773981,2.23,43.54307,4892.298
LKA,Sri Lanka,214.0,0.0,0.0,0.0,1.0,22253118.0,7.871008035239841,0.124643,-0.620432,94493.871351,4246.320509,7200000.0,15053118.0,32.5,61.4578661,2.6,61.75867,8526.015
LSO,Lesotho,1.0,17.0,0.0,0.9444444444444444,0.05555555555555555,2183603.0,11.037756141367,10.816363,9.471887,2556.24715,1170.655632,1600000.0,583603.0,71.5,63.5065256,2.28,58.68291,9054.14
LTU,Lituanie,134.0,45.0,66.0,0.39823008849557523,1.1858407079646018,2802478.0,-12.380970842096607,13.621171,14.709125,54261.795149,19362.077115,500000.0,2302478.0,16.7,81.3878711,3.02,80.95864,1700.296
LUX,Luxembourg,0.0,12.0,1.0,1.0909090909090908,0.0,608101.0,24.35857583999673,8.047487,5.98542,71000.35976,116757.511927,0.0,608101.0,2.1,88.19473169999999,3.63,69.58703,289.1023
LVA,Lettonie,34.0,47.0,21.0,0.7833333333333333,0.5666666666666667,1927588.0,-11.4855919816725,13.122615,14.003259,33247.935477,17248.465687,400000.0,1527588.0,21.4,77.2238587,2.81,80.31973,1704.598
MAR,Maroc,775.0,4.0,1.0,0.005141388174807198,0.9961439588688946,35839760.0,13.392679485377293,7.424097,6.245038,127341.141871,3553.069046,4500000.0,31339760.0,12.5,58.6099311,2.54,71.67294,1816.853
MDA,République de Moldova,46.0,19.0,0.0,0.2923076923076923,0.7076923076923077,3153773.0,-16.555902573459374,18.26651,19.756179,11252.353608,3567.902195,300000.0,2853773.0,8.9,61.8237471,2.46,73.12546,1976.854
MEX,Mexique,3377.0,983.0,13.0,0.22613296526340004,0.7768576029445594,124573711.0,12.864792387154516,5.507477,4.513453,1256300.20464,10084.793931,33700000.0,90873711.0,27.0,50.0543383,3.05,72.3064,9206.813
MKD,Macédoine du Nord,1.0,41.0,1.0,1.0,0.024390243902439025,1919728.0,-7.2968668661997915,12.169447,13.405239,12683.068033,6606.698829,400000.0,1519728.0,21.4,63.8711922,2.7,80.65175,1672.04
MLT,Malte,4.0,9.0,0.0,0.6923076923076923,0.3076923076923077,484558.0,15.654857519291403,14.06971,10.148955,16153.804358,33337.229034,0.0,484558.0,4.2,84.8913894,2.81,65.4975,1752.693
MMR,Myanmar,1755.0,1.0,0.0,0.0005694760820045558,0.9994305239179955,52272247.0,8.021058882006749,7.373015,6.597981,69256.6622,1324.922245,22000000.0,30272247.0,42.1,43.7246454,2.3,43.4838,8892.726
MNG,Mongolie,0.0,12.0,0.0,1.0,0.0,3167706.0,20.24283107047309,14.783231,12.488005,13178.082983,4160.134489,800000.0,2367706.0,26.7,78.6896342,2.37,67.67673,7053.423
MUS,Maurice,49.0,3.0,0.0,0.057692307692307696,0.9423076923076923,1288833.0,1.1138875050504655,7.453734,7.605597,14735.674219,11433.342025,200000.0,1088833.0,13.8,81.2539224,2.73,80.33655,9422.744
MYS,Malaisie,1654.0,72.0,47.0,0.04288266825491364,0.9851101846337106,32910966.999999996,19.372131194931416,12.434549,10.537387,358788.923981,10901.804374,1200000.0,31710966.999999996,3.6,68.9172284,3.22,81.33541,10436.4
NER,Niger,19.0,2.0,0.0,0.09523809523809523,0.9047619047619048,22188069.0,44.43556678968736,14.515345,10.630968,12808.662634,577.277033,18600000.0,3588069.0,84.1,45.5557519,2.07,52.3119,3932.638
NGA,Nigéria,260.0,18.0,0.0,0.06474820143884892,0.935251798561151,204938755.0,30.041395218252273,12.240478,9.675057,421737.59974,2057.871391,151700000.0,53238755.0,74.0,33.6874013,2.53,53.40471,4722.149
NLD,Pays-Bas (Royaume des),1074.0,585.0,1423.0,2.4788135593220337,4.5508474576271185,17421280.0,4.964808042388677,9.60821,8.941867,929733.599797,53367.698957,300000.0,17121280.0,1.5,79.44179,4.02,76.09693,427.9169
NOR,Norvège,98.0,2.0,0.0,0.02,0.98,5311752.0,11.401834818515798,9.46952,8.749238,439788.625884,82795.391141,100000.0,5211752.0,1.7,84.8814137,3.7,82.91579,1342.89
NZL,Nouvelle-Zélande,232.0,1.0,23.0,0.004761904761904762,1.1047619047619048,4900847.0,14.99411988857353,2.555545,0.712051,211846.555691,43226.518945,800000.0,4100847.0,3.2,90.5754935,3.88,87.00452,19263.88
PAK,Pakistan,1396.0,1.0,5.0,0.0007183908045977011,1.0028735632183907,226928892.0,19.751954722869865,-4.58122,-6.118038,321691.849252,1417.588768,130100000.0,96828892.0,57.3,31.9741236,2.42,55.45628,5932.586
PAN,Panama,209.0,21.0,1.0,0.09170305676855896,0.9126637554585153,4167859.9999999995,19.05967123801078,4.723616,2.986033,67294.2,16145.981853,1700000.0,2467859.9999999995,40.6,72.1174424,3.28,66.86797,8671.104
PER,Pérou,1582.0,70.0,1.0,0.04239854633555421,0.9582071471835252,31897584.0,11.06771984482351,5.492247,3.597387,222597.030191,6978.491966,9700000.0,22197584.0,30.3,63.0086226,2.69,68.27159,10268.11
PHL,Philippines,1391.0,282.0,1.0,0.1686602870813397,0.8319377990430622,109465287.0,18.086683586285282,5.589722,4.291769,346841.89689,3168.510383,49700000.0,59765287.0,45.4,47.672128,2.9,60.87374,10751.64
POL,Pologne,2509.0,77.0,1150.0,0.05362116991643454,1.7472144846796658,38241070.0,0.6452485323285654,12.540773,12.581644,594616.687356,15549.164278,5700000.0,32541070.0,14.9,76.6592008,3.54,76.93317,1368.178
PRT,Portugal,353.0,85.0,33.0,0.20987654320987653,0.8716049382716049,10325353.0,-2.259808496356664,9.61225,9.670542,242092.894543,23446.452101,1700000.0,8625353.0,16.1,84.5430665,3.64,76.44344,1452.86
PRY,Paraguay,74.0,1.0,5.0,0.014285714285714285,1.0571428571428572,6427382.0,14.497145668695202,3.149767,1.725929,40225.448569,6258.450439,1500000.0,4927382.0,22.6,65.3173273,2.78,58.45116,10168.73
RUS,Fédération de Russie,4543.0,225.0,193.0,0.04918032786885246,0.9930054644808743,146430146.0,1.8206470343471024,5.280742,5.10578,1657328.764646,11318.221115,4099999.9999999995,142330146.0,2.8,59.6065913,2.76,77.40044,2494.316
RWA,Rwanda,19.0,0.0,0.0,0.0,1.0,12487996.0,27.373045354018743,4.163113,1.778108,9637.746478,771.760856,9500000.0,2987996.0,76.1,68.6247949,2.97,75.37431,6253.41
SEN,Sénégal,98.0,0.0,0.0,0.0,1.0,15914498.0,32.0819333852825,10.0976,7.05713,23116.719543,1452.55721,7700000.0,8214498.0,48.6,63.4671559,2.25,54.37982,4217.159
SVK,Slovaquie,77.0,88.0,49.0,0.7586206896551724,0.6637931034482759,5443232.0,1.1918678148098574,11.079131,10.925437,106611.673365,19586.097628,1000000.0,4443232.0,18.3,78.07282959999999,3.03,75.445,1094.61
SVN,Slovénie,69.0,23.0,31.0,0.3770491803278688,1.1311475409836065,2069481.0000000002,2.192303039131702,11.496365,11.115431,53689.06764,25943.258533,100000.0,1969481.0000000002,2.6,82.7029921,3.31,76.4142,965.7366
SWE,Suède,161.0,81.0,26.0,0.375,0.7453703703703703,10175405.0,10.363507196390417,2.840704,1.652721,551312.49843,54180.892605,400000.0,9775405.0,4.1,81.76249969999999,4.05,82.01848,1545.797
SYR,République arabe syrienne,121.0,31.0,0.0,0.20394736842105263,0.7960526315789473,19577845.0,-9.514999701431336,31.525171,29.152507,22985.573019,1174.060425,3800000.0,15777845.0,19.2,24.4910213,2.3,41.47442,3280.692
THA,Thaïlande,1738.0,2.0,870.0,0.0022988505747126436,1.9977011494252874,71376079.0,5.554951853620454,11.0434,10.707526,506754.119583,7099.775306,16800000.0,54576079.0,23.6,49.1566626,3.41,79.51709,9454.805
TTO,Trinité-et-Tobago,65.0,20.0,0.0,0.23529411764705882,0.7647058823529411,1470518.0,7.174050568332551,0.172532,-1.548057,23888.910507,16245.229493,500000.0,970518.0,32.5,67.8691049,2.42,61.03242,7225.325
