Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,39.25519,38.93563,37.13062,44.20343,44.06497
Albania,ALB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,58.07559,64.16093,66.8377,66.99561,67.74847
Algeria,DZA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,44.2486,46.10981,46.22686,48.49803,48.59758
Angola,AGO,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,37.57368,37.65132,39.00774,41.20205,41.28838
Antigua and Barbuda,ATG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,59.23927,58.80632,59.79669,59.85514,60.28342
Argentina,ARG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,56.73295,57.2443,57.31005,58.18388,58.96151
Armenia,ARM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,69.1418,70.63154,71.49433,73.19187,74.49401
Australia,AUS,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,80.38389,80.22369,80.76007,80.70552,81.21506
Austria,AUT,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,78.81665,78.85646,78.70694,78.73995,78.74549
Azerbaijan,AZE,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,65.7606,64.56339,67.13946,73.8979,78.50823
"Bahamas, The",BHS,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.10881,56.94715,58.61968,59.38844,59.87155
Bahrain,BHR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,66.6415,68.7147,69.09366,70.13951,76.02665
Bangladesh,BGD,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,40.90786,41.01625,41.5632,42.46602,45.04865
Barbados,BRB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.67895,57.76071,57.67127,57.6745,57.90615
Belarus,BLR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,68.72922,72.62337,73.57749,74.35306,74.29113
Belgium,BEL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,72.42806,72.4092,72.18146,74.74503,74.98904
Belize,BLZ,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,55.36697,55.36968,55.27374,55.28901,55.47444
Benin,BEN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,48.65854,49.72104,51.57576,51.71272,52.40404
Bhutan,BTN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,64.86482,64.99022,65.7664,65.96848,65.97305
Bolivia,BOL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,49.75552,50.2251,50.97713,51.5617,51.65574
Bosnia and Herzegovina,BIH,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,64.1284,64.83564,65.24652,65.37254,65.44253
Botswana,BWA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,65.48306,65.64189,65.71078,66.17048,66.1978
