"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","1996","1998","2000","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","ESP","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC_LB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Spain","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Lower bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","61.004836399999995","61.314636899999996","63.389253599999996","61.895112299999994","59.676960599999994","59.551786699999994","63.388853899999994","61.1148385","59.583592599999996","59.22286","58.6885014","59.281902499999994","62.517133699999995","61.5276188","60.729329","67.2992063","66.4915353","66.3317659","63.8487162","64.7717171","63.6168676","64.1061667","65.6014421","61.736665099999996","61.5167054","59.052277999999994"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SVK","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC_LB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Slovak Republic","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Lower bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","75.96188029999999","79.12234699999999","72.7647035","75.4665036","74.2153704","68.12530149999999","75.170459","73.84916299999999","78.3055971","78.2557787","74.9184456","78.2990241","75.28779759999999","76.39742009999999","76.7851895","78.5657755","75.184758","71.61840509999999","73.6477317","71.2341835","70.5772372","69.5902725","69.1908227","68.2294378","69.1185419","69.9511675"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","HND","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_EST","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Honduras","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance estimate (approx. -2.5 to +2.5)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","-0.6128686","-0.28093999999999997","-0.36446639999999997","-0.3381027","-0.5840145999999999","-0.6201515","-0.6413846999999999","-0.6520476","-0.4582098","-0.5405327999999999","-0.5186689999999999","-0.6306269","-0.5252471","-0.5116558999999999","-0.5359364999999999","-0.6895701","-0.6604916","-0.7047922","-0.9065696","-0.8643535999999999","-0.8271375999999999","-0.6663530999999999","-0.806377","-0.4781621","-0.3507671","-0.5671583"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BGD","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Bangladesh","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","61.552136","62.7875047","60.1757809","52.5906604","52.8067478","50.2076883","42.3068708","44.472563199999996","46.125457499999996","47.685243299999996","47.0998808","48.2402382","47.9188222","47.6696478","42.4979319","54.810141099999996","50.016637499999995","49.8460914","50.0624913","55.2515194","55.7369238","55.4221133","54.2923158","53.576760699999994","54.6536565","47.2597423"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","BGR","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Bulgaria","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","5.0","5.0","5.0","6.0","6.0","8.0","8.0","9.0","9.0","9.0","9.0","9.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","11.0"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TON","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SR","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Tonga","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Number of sources","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","","","","","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","5.0"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NZL","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC_LB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","New Zealand","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Lower bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","81.57307329999999","81.8403388","82.37735359999999","79.0970219","78.30063489999999","82.3592146","81.8389621","80.8254355","81.7547549","79.5227705","79.40850139999999","83.1148363","82.80368469999999","83.1206919","82.60809359999999","84.60630599999999","84.0988117","84.0670911","85.0180221","84.2050934","83.2398463","84.4725263","82.703414","80.5814881","81.413292","79.217992"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","QAT","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SE","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Qatar","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Standard error of the governance estimate","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","0.30406489999999997","0.30406489999999997","0.30406489999999997","0.30406489999999997","0.30406489999999997","0.2695743","0.2639083","0.25684809999999997","0.25684809999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.25146419999999997","0.2441168","0.2441168","0.24858039999999998","0.2441168"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","LBY","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","Libya","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Governance score (0-100)","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","51.4563875","54.9136283","59.929407899999994","61.668326799999996","64.018579","65.69836819999999","69.95969629999999","69.252214","74.4332991","74.7055542","74.8232345","57.715986099999995","37.9809248","38.998383499999996","33.3839125","27.1999666","28.1427275","27.330068699999998","26.703817899999997","26.881476799999998","27.3077464","27.9189568","28.1965038","31.6633359","31.0158937","33.4995362"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","STP","GOV_WGI_PV","_Z","_Z","_Z","U","WGI_SC_UB","_Z","_Z","NUMBER","2","WB_WGI","602","0","A","PU","Annual","São Tomé and Príncipe","Worldwide Governance Indicators: Political Stability","Not applicable","Not applicable","Not applicable","Unitless","Metric: Upper bound of the 90% confidence interval for the governance score","Not Applicable","Not Applicable","Number (real number)","Two","Worldwide Governance Indicators (WGI)","CCYY","Units","Normal value","Public","89.9678804","89.97403489999999","90.71641149999999","83.0179836","77.82702189999999","81.0299091","83.7169713","81.1301867","82.2601277","80.43428399999999","81.4577588","79.63689099999999","78.2272473","78.2202831","79.78712879999999","81.2561891","80.3617692","77.5834588","76.7347612","81.0410429","82.008596","81.18232139999999","83.4096904","81.4932288","83.64943579999999","81.42386549999999"
